ticker,name,listed,asset_class,country,datasource,datasource_ticker
29134331=X,,TRUE,currency,n/a,yfinance,29134331=X
ARSBOB=X,ARS/BOB,TRUE,currency,n/a,yfinance,ARSBOB=X
EURBMD=X,EUR/BMD,TRUE,currency,n/a,yfinance,EURBMD=X
AWGCHF=X,AWG/CHF,TRUE,currency,n/a,yfinance,AWGCHF=X
ANGSRD=X,ANG/SRD,TRUE,currency,n/a,yfinance,ANGSRD=X
ARSCAD=X,ARS/CAD,TRUE,currency,n/a,yfinance,ARSCAD=X
ARS=X,USD/ARS,TRUE,currency,n/a,yfinance,ARS=X
AUDPHP=X,AUD/PHP,TRUE,currency,n/a,yfinance,AUDPHP=X
ANG=X,USD/ANG,TRUE,currency,n/a,yfinance,ANG=X
AEDZAR=X,AED/ZAR,TRUE,currency,n/a,yfinance,AEDZAR=X
ARSEUR=X,ARS/EUR,TRUE,currency,n/a,yfinance,ARSEUR=X
IACWE.PA,SPDR ACWE INAV,TRUE,currency,n/a,yfinance,IACWE.PA
AED=X,USD/AED,TRUE,currency,n/a,yfinance,AED=X
AUDJOD=X,AUD/JOD,TRUE,currency,n/a,yfinance,AUDJOD=X
EUR-BZD.F,EUR-BZD.F,TRUE,currency,n/a,yfinance,EUR-BZD.F
AUKOT.SW,AUKOT.SW,TRUE,currency,n/a,yfinance,AUKOT.SW
AEDEGP=X,UAE Dirham (b) vs Egyptian Poun,TRUE,currency,n/a,yfinance,AEDEGP=X
AUDTJS=X,AUD/TJS,TRUE,currency,n/a,yfinance,AUDTJS=X
EUR-ZMK.F,EUR-ZMK.F,TRUE,currency,n/a,yfinance,EUR-ZMK.F
AWGEUR=X,AWG/EUR,TRUE,currency,n/a,yfinance,AWGEUR=X
ANGCAD=X,ANG/CAD,TRUE,currency,n/a,yfinance,ANGCAD=X
AUDPKR=X,AUD/PKR,TRUE,currency,n/a,yfinance,AUDPKR=X
AEDJOD=X,AED/JOD,TRUE,currency,n/a,yfinance,AEDJOD=X
ARSTHB=X,ARS/THB,TRUE,currency,n/a,yfinance,ARSTHB=X
EURHRK=X,EUR/HRK,TRUE,currency,n/a,yfinance,EURHRK=X
EURLBP=X,EUR/LBP,TRUE,currency,n/a,yfinance,EURLBP=X
ARSDKK=X,ARS/DKK,TRUE,currency,n/a,yfinance,ARSDKK=X
AWGGBP=X,AWG/GBP,TRUE,currency,n/a,yfinance,AWGGBP=X
AUDTHB=X,AUD/THB,TRUE,currency,n/a,yfinance,AUDTHB=X
AUDBOB=X,AUD/BOB,TRUE,currency,n/a,yfinance,AUDBOB=X
EUR-XAF.F,EUR-XAF.F,TRUE,currency,n/a,yfinance,EUR-XAF.F
AFNUSD=X,AFN/USD,TRUE,currency,n/a,yfinance,AFNUSD=X
AUDJMD=X,AUD/JMD,TRUE,currency,n/a,yfinance,AUDJMD=X
AEDSAR=X,AED/SAR,TRUE,currency,n/a,yfinance,AEDSAR=X
AUDKWD=X,AUD/KWD,TRUE,currency,n/a,yfinance,AUDKWD=X
AOA=X,USD/AOA,TRUE,currency,n/a,yfinance,AOA=X
AUDISK=X,AUD/ISK,TRUE,currency,n/a,yfinance,AUDISK=X
985840=X,,TRUE,currency,n/a,yfinance,985840=X
EURMUR=X,EUR/MUR,TRUE,currency,n/a,yfinance,EURMUR=X
AUDDKK=X,AUD/DKK,TRUE,currency,n/a,yfinance,AUDDKK=X
AUGLE.SW,AUGLE.SW,TRUE,currency,n/a,yfinance,AUGLE.SW
AUDKES=X,AUD/KES,TRUE,currency,n/a,yfinance,AUDKES=X
AEDDKK=X,AED/DKK,TRUE,currency,n/a,yfinance,AEDDKK=X
ARSSGD=X,ARS/SGD,TRUE,currency,n/a,yfinance,ARSSGD=X
EUR-JOD.F,EUR-JOD.F,TRUE,currency,n/a,yfinance,EUR-JOD.F
AEDIDR=X,AED/IDR,TRUE,currency,n/a,yfinance,AEDIDR=X
AUDTMT=X,AUD/TMT,TRUE,currency,n/a,yfinance,AUDTMT=X
AUDUGX=X,AUD/UGX,TRUE,currency,n/a,yfinance,AUDUGX=X
AUDBRL=X,AUD/BRL,TRUE,currency,n/a,yfinance,AUDBRL=X
AOACHF=X,AOA/CHF,TRUE,currency,n/a,yfinance,AOACHF=X
AUDARS=X,AUD/ARS,TRUE,currency,n/a,yfinance,AUDARS=X
XF000EURPEN5.SG,,TRUE,currency,n/a,yfinance,XF000EURPEN5.SG
AUDAWG=X,AUD/AWG,TRUE,currency,n/a,yfinance,AUDAWG=X
AUDCNY=X,AUD/CNY,TRUE,currency,n/a,yfinance,AUDCNY=X
AWGUSD=X,AWG/USD,TRUE,currency,n/a,yfinance,AWGUSD=X
EURBOB=X,EUR/BOB,TRUE,currency,n/a,yfinance,EURBOB=X
HF42.EX,,TRUE,currency,n/a,yfinance,HF42.EX
AUDZAR=X,AUD/ZAR,TRUE,currency,n/a,yfinance,AUDZAR=X
AEDCHF=X,AED/CHF,TRUE,currency,n/a,yfinance,AEDCHF=X
AUDPEN=X,AUD/PEN,TRUE,currency,n/a,yfinance,AUDPEN=X
AEDIQD=X,AED/IQD,TRUE,currency,n/a,yfinance,AEDIQD=X
AUDBAM=X,AUD/BAM,TRUE,currency,n/a,yfinance,AUDBAM=X
AOAEUR=X,AOA/EUR,TRUE,currency,n/a,yfinance,AOAEUR=X
ANGUSD=X,ANG/USD,TRUE,currency,n/a,yfinance,ANGUSD=X
AZNEUR=X,AZN/EUR,TRUE,currency,n/a,yfinance,AZNEUR=X
AUDBBD=X,AUD/BBD,TRUE,currency,n/a,yfinance,AUDBBD=X
AUDSVC=X,AUD/SVC,TRUE,currency,n/a,yfinance,AUDSVC=X
AUDCOP=X,AUD/COP,TRUE,currency,n/a,yfinance,AUDCOP=X
ALL=X,USD/ALL,TRUE,currency,n/a,yfinance,ALL=X
AFNEUR=X,AFN/EUR,TRUE,currency,n/a,yfinance,AFNEUR=X
ALLCHF=X,ALL/CHF,TRUE,currency,n/a,yfinance,ALLCHF=X
AUDBSD=X,AUD/BSD,TRUE,currency,n/a,yfinance,AUDBSD=X
AUDTRY=X,AUD/TRY,TRUE,currency,n/a,yfinance,AUDTRY=X
AUDSEK=X,AUD/SEK,TRUE,currency,n/a,yfinance,AUDSEK=X
BTCUSD=X,Bitcoin USD,TRUE,currency,n/a,yfinance,BTCUSD=X
BWPMAD=X,BWP/MAD,TRUE,currency,n/a,yfinance,BWPMAD=X
BWPKYD=X,BWP/KYD,TRUE,currency,n/a,yfinance,BWPKYD=X
BWPISK=X,BWP/ISK,TRUE,currency,n/a,yfinance,BWPISK=X
BWPINR=X,BWP/INR,TRUE,currency,n/a,yfinance,BWPINR=X
BWPIDR=X,BWP/IDR,TRUE,currency,n/a,yfinance,BWPIDR=X
BWPFJD=X,BWP/FJD,TRUE,currency,n/a,yfinance,BWPFJD=X
BWPEUR=X,BWP/EUR,TRUE,currency,n/a,yfinance,BWPEUR=X
BWPBDT=X,BWP/BDT,TRUE,currency,n/a,yfinance,BWPBDT=X
BRLINR=X,BRL/INR,TRUE,currency,n/a,yfinance,BRLINR=X
BOBVEF=X,BOB/VEF,TRUE,currency,n/a,yfinance,BOBVEF=X
BOBUSD=X,BOB/USD,TRUE,currency,n/a,yfinance,BOBUSD=X
BOBPEN=X,BOB/PEN,TRUE,currency,n/a,yfinance,BOBPEN=X
BOBCOP=X,BOB/COP,TRUE,currency,n/a,yfinance,BOBCOP=X
BOBCHF=X,BOB/CHF,TRUE,currency,n/a,yfinance,BOBCHF=X
BMDUSD=X,BMD/USD,TRUE,currency,n/a,yfinance,BMDUSD=X
BMD=X,USD/BMD,TRUE,currency,n/a,yfinance,BMD=X
BHDOMR=X,BHD/OMR,TRUE,currency,n/a,yfinance,BHDOMR=X
BHDJPY=X,BHD/JPY,TRUE,currency,n/a,yfinance,BHDJPY=X
BHDEUR=X,BHD/EUR,TRUE,currency,n/a,yfinance,BHDEUR=X
BHDCHF=X,BHD/CHF,TRUE,currency,n/a,yfinance,BHDCHF=X
